Author,Quote
MJ Hegar,"I'm a medevac pilot. I have spent time suppressing wildfires and things like that. And as a combat pilot, I tend to find the biggest bucket of water I can find and put it on the biggest fire I can find, right?"
Sherri Shepherd,"I can't swim and I'm terrified of drowning, but I still love being by water - just not in it."
Wangari Maathai,"In Kenya women are the first victims of environmental degradation, because they are the ones who walk for hours looking for water, who fetch firewood, who provide food for their families."
Cameron Bright,Being able to breathe underwater would be sweet. There is so much life underneath the water that we don't know about. I would love to check out the bottom of the ocean to see what's going on down there.
David Suzuki,"I can't imagine anything more important than air, water, soil, energy and biodiversity. These are the things that keep us alive."
Diane Keaton,I drink red wine on ice to water it down.
DJ Khaled,"Basically what I'm trying to tell you is that it's almost impossible to drive a jet ski at night time unless you're in a city with lights lit up so you can navigate. Besides being pitch black, that water turn black at night. Listen, I don't recommend it."
Jessica Lange,The only place I've felt was really my home is my cabin up north. There's something in the water there that connects me to that place. There's also this sense of isolation and loneliness about it that I've never been able to shake.
Jo Nesbo,"Until the Eighties, Oslo was a rather boring town, but it's changed a lot, and is now much more cosmopolitan. If I go downtown, I visit the harbour to see the tall ships and the ferries, and to admire the modern architecture such as the Opera House or the new Astrup Fearnley Museum on the water's edge."
Jessica Long,"The water has always been a place of freedom, safety, but also feeling really strong and capable."
Margaret Cuomo,"Drinking water to quench thirst instead of sugar-sweetened beverages is important for weight control, and overall health."
Richard Dawkins,"Even if you believe a creator god invented the laws of physics, would you so insult him as to suggest that he might capriciously and arbitrarily violate them in order to walk on water, or turn water into wine as a cheap party trick at a wedding?"
Sylvia Earle,"With every drop of water you drink, every breath you take, you're connected to the sea. No matter where on Earth you live. Most of the oxygen in the atmosphere is generated by the sea."
Jacques Yves Cousteau,We forget that the water cycle and the life cycle are one.
Carolyn Murphy,The best anti-aging advice I've ever received? Drink a lot of water and have a plant-based diet. I also do mindful meditation with my daughter every day. It takes ten minutes. I think reducing stress plays a big part in anti-aging.
Horace,"The foolish are like ripples on water, For whatsoever they do is quickly effaced; But the righteous are like carvings upon stone, For their smallest act is durable."
Frida Giannini,"Venice never quite seems real, but rather an ornate film set suspended on the water."
Carl Reiner,A lot of people like snow. I find it to be an unnecessary freezing of water.
Marc Andreessen,"The smartphone revolution is under-hyped, more people have access to phones than access to running water. We've never had anything like this before since the beginning of the planet."
Nelson Mandela,When the water starts boiling it is foolish to turn off the heat.
William Kamkwamba,I want to bring clean water to people who do not have it. What I'm trying to do now is think of ways to build a well-drilling machine that is low-cost so people in rural areas can afford it. People in rural places could use the water for irrigation or for drinking.
Gal Gadot,"I try to eat healthy. But sometimes, though, I eat cheeseburgers. That's good for the soul. I make sure to balance everything out. I drink tons of water."
Natalie Coughlin,I actually love swimming but I just hate jumping in the water.
Walton Goggins,"I wrote about wasting time, which I suppose is a part of the great human journey. We're supposed to wallow, to go through the desert without water for a long time so that when we finally drink it, we'll truly need it and we won't spill a drop. It's about being present."
Art Donovan,You know you're big when you sit in the bathtub and the water in the toilet rises.
John McEnroe,"I like to be close to water and the ocean, particularly. I love to get out and body surf. I like mountain biking, too."
Ryan Higa,Lemonade is not just made of lemons. It's barely lemons! It's mostly water and sugar! Life didn't give us that.
Steven Wright,I got this powdered water - now I don't know what to add.
Neil deGrasse Tyson,Venus has a runaway greenhouse effect. I kind of want to know what happened there because we're twirling knobs here on Earth without knowing the consequences of it. Mars once had running water. It's bone dry today. Something bad happened there as well.
Julie Andrews,"Because of the Thames I have always loved inland waterways - water in general, water sounds - there's music in water. Brooks babbling, fountains splashing. Weirs, waterfalls; tumbling, gushing."
Mark Twain,"Water, taken in moderation, cannot hurt anybody."
Kanye West,"I know how to swim through backlash. I can tread water through backlash... If anything, that's all giving me power."
Jim Himes,"I go out and take oysters, clams and mussels every 2 weeks or so during late fall, winter and early spring. I particularly like to go out when there is a below-average ebb tide because that exposes clamming grounds and oysters that are usually under water."
Diane von Furstenberg,"Harbour Island in the Bahamas is beautiful, with turquoise water and pink sand."
Ashlan Gorse Cousteau,"To go in the water and stare at a shrimp for three minutes and not think about anything else in the world, it's just euphoric."
Duke Kahanamoku,"Every day of the year where the water is 76, day and night, and the waves roll high, I take my sled, without runners, and coast down the face of the big waves that roll in at Waikiki."
Jesse Ventura,"Okay, fluoride in the water to help our teeth. Well, shouldn't that be the job of your mom and dad? To teach you how to brush your teeth and use mouth wash? What do we need the government to do it for? Clearly, what a scam. Fluoride in the water."
John Keats,Here lies one whose name was writ in water.
Ruben Hinojosa,"The people of South and Central Texas and the Coastal Bend need jobs, they need health care, they need water infrastructure improvements, they need a quality education, and they need the resources to keep our borders safe and secure."
Erma Bombeck,There's something wrong with a mother who washes out a measuring cup with soap and water after she's only measured water in it.
Sebastian Koch,"You throw a rock in the water, and ripples spread out slowly. But they do go far."
Henryk Sienkiewicz,"The sky is one whole, the water another; and between those two infinities the soul of man is in loneliness."
Rebecca Solnit,"For millions of years, this world has been a great gift to nearly everything living on it, a planet whose atmosphere, temperature, air, water, seasons, and weather were precisely calibrated to allow us - the big us, including forests and oceans, species large and small - to flourish."
Wilson Mizner,The most efficient water power in the world - women's tears.
Nellie Bly,"Even that was all consumed after two days, and the patients had to try to choke down fresh fish, just boiled in water, without salt, pepper or butter; mutton, beef, and potatoes without the faintest seasoning."
Karen Duffy,Concealing an illness is like keeping a beach ball under water.
Moshe Dayan,We could not guard every water pipeline from being blown up and every tree from being uprooted. We could not prevent every murder of a worker in an orchard or a family in their beds.
Esther Williams,"It appeared as if I had invited the audience into the water with me, and it conveyed the sensation that being in there was absolutely delicious."
Benjamin Rush,"Mirth, and even cheerfulness, when employed as remedies in low spirits, are like hot water to a frozen limb."
Katherine Kelly,"Don't be fooled. Looks can be deceptive. Like every working mother, I'm paddling away like a duck beneath the water."
John Muir,"Bread without flesh is a good diet, as on many botanical excursions I have proved. Tea also may easily be ignored. Just bread and water and delightful toil is all I need - not unreasonably much, yet one ought to be trained and tempered to enjoy life in these brave wilds in full independence of any particular kind of nourishment."
Edgardo Osorio,"I love art, being so close to the galleries, being by the water - and sunsets from the terrace."
Joseph Brodsky,"Time is water, and the Venetians conquered both by building a city on water, and framed time with their canals. Or tamed time. Or fenced it in. Or caged it."
Hernan Cortes,"The city is as large as Seville or Cordova; its streets, I speak of the principal ones, are very wide and straight; some of these, and all the inferior ones, are half land and half water, and are navigated by canoes."
Wendell Berry,"The atmosphere, the earth, the water and the water cycle - those things are good gifts. The ecosystems, the ecosphere, those are good gifts. We have to regard them as gifts because we couldn't make them. We have to regard them as good gifts because we couldn't live without them."
Juliette Gordon Low,"Once I showed up at my sister's with a baby rabbit I had bought from some children because its ears were cold. I put the rabbit on a hot water bottle and massaged its ears for quite a while. After all, I knew that all healthy animals had warm ears."
Dave Barry,"Not all chemicals are bad. Without chemicals such as hydrogen and oxygen, for example, there would be no way to make water, a vital ingredient in beer."
Rosanna Arquette,"I was in Florida with Burt Stern, the photographer who shot Marilyn Monroe on the beach with a sweater, and we smoked a joint. The bathing suit kept coming off in the water, and I just ripped it off. I was very comfortable being naked."
Michael Burry,I believe that agriculture land - productive agricultural land with water on site - will be valuable in the future.
Erin Brockovich,"This is our country, our water. We're entitled to a good life. It's a human rights issue."
Sussanne Khan,"I include lots of nutrients like Omega 3 fish oils in my diet, which work wonders for my skin, hair and nails. I also pack in the greens and drink lots of water, rather than choosing foods that make me feel lethargic."
David Suzuki,More than a billion people lack adequate access to clean water.
Jorge Masvidal,"My body fat at 173 is five percent, so the rest is just straight water that I lose."
W. C. Fields,"Once, during Prohibition, I was forced to live for days on nothing but food and water."
George Crumb,"In a broader sense, the rhythms of nature, large and small - the sounds of wind and water, the sounds of birds and insects - must inevitably find their analogues in music."
Stone Gossard,It's a perfectly human instinct to want to be near water.
Charles Studd,"Noah walked with God; he didn't only preach righteousness, he acted it. He went through water and didn't melt. He breasted the current of the popular opinion of his day, scorning alike the hatred and ridicule of the scoffers who mocked at the thought of there being but one way of salvation."
Mae Jemison,"We put water down into the earth to push up gas, then we say, 'Ooh, we're having a water crisis.' This is foolishness, and this kind of foolishness, where we try to excuse human behavior, is dangerous."
Kendall Jenner,"I'm big about washing my face before I go to bed, washing it when I wake up in the morning, getting good sleep and drinking a lot of water. Those are just easy things that you can do for your skin."
George MacDonald,You can't live on amusement. It is the froth on water - an inch deep and then the mud.
Arvind Gupta,"We don't want to end up in a class war. We want everyone to have food, clean water, and a long life expectancy."
David Bowie,"Music itself is going to become like running water or electricity. So it's like, just take advantage of these last few years because none of this is ever going to happen again. You'd better be prepared for doing a lot of touring because that's really the only unique situation that's going to be left."
Connie Sellecca,"When we distributed the paper and crayons, they were fighting over the blue crayon. Everyone wanted to start with the blue, and that was the water. One drawing shows the trees under water. I was really moved."
Gertrude Ederle,"The doctors told me my hearing would get worse if I continued swimming, but I loved the water so much, I just couldn't stop."
Marjory Stoneman Douglas,"The miracle of light pours over the green and brown expanse of saw grass and of water, shining and slowly moving, the grass and water that is the meaning and the central fact of the Everglades. It is a river of grass."
Mitch Hedberg,I drank some boiling water because I wanted to whistle.
Connie Nielsen,"I love cities that are on the water. I love the water element, specifically the sea. I grew up on the sea and I grew up sailing - I love sailing - and the presence of the sea gives the air and the light a very special quality that I absolutely adore."
Ridley Scott,"When you're in the editing room, the dangerous thing is that it becomes like telling a joke again and again and again. Eventually, the joke starts to not be funny. So you have to be careful that you're not throwing the baby out with the bath water."
Jay Weatherill,The two defining issues of this century are both universal but felt locally: the global water crisis and the resources boom.
Lao Tzu,One can not reflect in streaming water. Only those who know internal peace can give it to others.
Novak Djokovic,"The tradition in Serbia has always been team sports - football, basketball, handball, volleyball and water polo, individual sports are not supported."
Tim Sweeney,"If you throw a frog in boiling water, he'll just hop out. But if you put him in warm water and slowly amp up the temperature, he won't notice and end up boiled."
Mahavira,"One who neglects or disregards the existence of earth, air, fire, water and vegetation disregards his own existence which is entwined with them."
David Knopfler,"I took the process of doing as much myself as I could like a duck to water. I set up my own label and publishing, etc, and it was a fun learning curve two decades ago."
Katie Ledecky,It's always great to see young swimmers and their excitement and the joy that they have in the water.
David Letterman,"The weather here is gorgeous. It's mild and feels like it's in the eighties. The hot dog vendors got confused because of the weather and thought it was spring, so they accidentally changed the hot dog water in their carts."
Victoria Beckham,"For me to go to America - which I find such a positive place - well, I took to it like a duck to water."
Camille Pissarro,"Work at the same time on sky, water, branches, ground, keeping everything going on an equal basis... Don't be afraid of putting on colour... Paint generously and unhesitatingly, for it is best not to lose the first impression."
Jeff Bridges,Thoughts will change and shift just like the wind and the water when you're on the boat; thoughts are no different than anything else.
Edgar Mitchell,"The best experience that we have on Earth is the fact that we have scientific stations, weathering over stations down in the Antarctic for almost the entire 20th century to learn how to exist in exceedingly hazardous conditions; and the Moon is far more hazardous than Antarctica. At least they have water there."
Hermann von Helmholtz,"Windmills, which are used in the great plains of Holland and North Germany to supply the want of falling water, afford another instance of the action of velocity. The sails are driven by air in motion - by wind."
Stirling Moss,"I believe that if a man wanted to walk on water, and was prepared to give up everything in life, he could do it."
DJ Khaled,No one ever told me I should eat egg whites or drink a gallon of water each day.
Richard Dawkins,"The reason we personify things like cars and computers is that just as monkeys live in an arboreal world and moles live in an underground world and water striders live in a surface tension-dominated flatland, we live in a social world."
George Saunders,"We have that illusion that we are 'deciding' what to make a character do, in order to 'convey our message' or something like that. But, at least in my experience, you are often more like a river-rafting guide who's been paid a bonus to purposely steer your clients into the roughest possible water."
Leonard Orr,"The water was like a physiological stimuli to the subconscious that overwhelmed people with too much psychoanalytical material, you might say. People could do 10 breathing sessions without the water, and then they did breathing sessions in the water."
Alexander Chee,"The beauty of Maine is such that you can't really see it clearly while you live there. But now that I've moved away, with each return it all becomes almost hallucinatory: the dark blue water, the rocky coast with occasional flashes of white sand, the jasper stone beaches along the coast, the pine and fir forests somehow vivid in their stillness."
Morihei Ueshiba,"The heart of a human being is no different from the soul of heaven and earth. In your practice always keep in your thoughts the interaction of heaven and earth, water and fire, yin and yang."
Roy Cooper,Renewable energy means good paying jobs along with clean air and water.
Jim Costa,"Water is a finite resource that is essential in the advancement of agriculture, and is vital to human life."
John Muir,"One may as well dam for water tanks the people's cathedrals and churches, for no holier temple has ever been consecrated by the heart of man."
Kenelm Digby,"Take to every Gallon of Honey, three Gallons of water, and put them both together, and set them over so soft a fire, that you may endure to melt and break the honey with your hands."
Hong Chau,"My parents are Vietnamese refugees; they left Vietnam after the war. They were part of the boat people, and they ended up in a refugee camp in Thailand after being on the water for three days, and I was born at that refugee camp in Thailand."
Devon Windsor,"Hydration is key! I know that is an obvious one, but drinking tons of water and keeping your skin hydrated is very important."
Jennifer Granholm,"Those who purify your water, inspect your meat, and test your kids' toys, as well as a huge number of nurses, teachers, and our soldiers, are public employees. The firefighters who don't hesitate to rush toward danger while you run away from it - they are all public employees."
Natalie Wood,"I've been terrified of the water, and yet it seems I'm forced to go into in on every movie that I make."
John Cleveland,I am no Poet here; my pen's the spout where the rain water of my eyes run out.
Horace,"No verse can give pleasure for long, nor last, that is written by drinkers of water."
Chadwick Boseman,"There's nothing more stressful than your stomach growling. But interestingly enough, some of my best writing came when I was poor and hungry - living off water and oatmeal, mind clear."
Sloane Stephens,My favorite food is macaroni and cheese that my grandma makes. My favorite drink has to be Vita Coco coconut water.
Brian Chesky,"Customers are willing to try new things, and if you can survive, you will have fewer competitors. It's like entering the eye of the storm. As long as you are strong enough to survive, you can end up in still water by yourself."
Wangari Maathai,"When resources are degraded, we start competing for them, whether it is at the local level in Kenya, where we had tribal clashes over land and water, or at the global level, where we are fighting over water, oil, and minerals. So one way to promote peace is to promote sustainable management and equitable distribution of resources."
Sean Scully,"Art is transformative. It's not 2+2=4. It works like the sea. It changes geography through its constant and relentless movement, just the way plants and water shape the world."
Ernest Thompson Seton,"There are no Rabbits in the north-west. This statement, far from final, is practically true today, but I saw plenty of Lynxes, and one cannot write of ducks without mentioning water."
Maggie Grace,"I am very superstitious about toasts. I never toast with water, and I'm very careful to make eye contact with everyone I toast with."
Bradley Chicho,The friendship we share grows amidst the craggy rock pond; reeds of water spray fireflies scented with bonfires.
Judi Dench,"I've figured out what to do so far, but it's always the next thing you come to where the man with the bucket of ice cold water is waiting - whoosh! in your face. That's why you work with directors who know what to tell you to do."
Nikola Tesla,"We have soon to have everywhere smoke annihilators, dust absorbers, ozonizers, sterilizers of water, air, food and clothing, and accident preventers on streets, elevated roads and in subways. It will become next to impossible to contract disease germs or get hurt in the city, and country folk will got to town to rest and get well."
Lawrence Hargrave,"The closer the bird is to the surface of the water, the firmer and more inelastic is the uplift of the rising air. The bird appears to almost feel the surface with the tip of its weather wing."
Steven Pinker,"Most wars are not fought over shortages of resources such as food and water, but rather over conquest, revenge, and ideology."
Margaret Cuomo,"When we speak of maintaining clean water supplies and a sustainable use of the environment, we should also stress the elimination of harmful chemicals in consumer products."
Gretchen Whitmer,I ran on fixing the roads... I ran on cleaning up drinking water.
Nyjah Huston,Everyone deserves to have clean water.
Christopher Hitchens,"Well look, I mean, I think that prayer and holy water, and things like that are all fine. They don't do any good, but they don't necessarily do any harm. It's touching to be thought of in that way. It makes up for those who tell me that I've got my just desserts."
Molly Ivins,"You look at the large problems that we face - that would be overpopulation, water shortages, global warming and AIDS, I suppose - all of that needs international cooperation to be solved."
Audrey Hepburn,"People in Ethiopia, the Sudan, etc., don't know Audrey Hepburn, but they recognize the name UNICEF. When they see UNICEF, their faces light up, because they know that something is happening. In the Sudan, for example, they call a water pump 'UNICEF.'"
Thomas Becket,"Many are needed to plant and water what has been planted now that the faith has spread so far and there are so many people... No matter who plants or waters, God gives no harvest unless what is planted is the faith of Peter and unless he agrees to his teachings."
Yuval Noah Harari,"Our bodies and minds evolved and were adapted for hundreds of thousands of years for tasks like climbing a tree and picking apples, or hunting rabbits, or looking for mushrooms in the forest. They were not adapted to the very gruelling work that is involved in field work - ploughing, harvesting, bringing water, digging weeds - things like that."
Gore Vidal,"To preserve the human race, it is now necessary to reorganize society. To this end, an Authority must be created with the power to control human population, to redistribute food, to purify air, water, soil, to re-pattern the cities."
Ofra Strauss,"Strauss' water activities, which highlight both its social responsibility and commitment to the environment, meet a genuine need of people around the world today."
David Suzuki,"Think about a seed. Once it lands, it's stuck. It can't move to find better soil, moisture or sunlight. It's able to create every part of itself to grow and reproduce with the help of air, water and sun."
Michael Phelps,I'm so sick of the water.
W. C. Fields,I never drink water. I'm afraid it will become habit-forming.
Ray Kurzweil,"Once we have inexpensive energy, we can readily and inexpensively convert the vast amount of dirty and salinated water we have on the planet to usable water."
George Matthew Adams,"Sailing a boat calls for quick action, a blending of feeling with the wind and water as well as with the very heart and soul of the boat itself. Sailing teaches alertness and courage, and gives in return a joyousness and peace that but few sports afford."
Kobe Bryant,We all know what flopping is when we see it. The stuff that you see is where guys aren't really getting hit at all and are just flailing around like a fish out of water.
Klaus Kinski,"The truth is, I can never die. For I will be in everything and see you in everything and watch over you. I am your reaction in the water of a mountain lake."
Moon Unit Zappa,"We had two rules growing up in my house: If you're going to take a shower, do it with whomever you're dating so you don't waste water; and if you buy one for yourself, buy six, because everybody's going to want one."
Isaac Hayes,Have you ever wondered why young people take to music like fish to water? Maybe it's because music is fun. Plan and simple. It opens up their minds to dream great dreams about where they can go and what they can do when they get older.
Saint Teresa of Avila,"When the soul, through its own fault... becomes rooted in a pool of pitch-black, evil smelling water, it produces nothing but misery and filth."
Leonardo da Vinci,"In order to arrive at knowledge of the motions of birds in the air, it is first necessary to acquire knowledge of the winds, which we will prove by the motions of water in itself, and this knowledge will be a step enabling us to arrive at the knowledge of beings that fly between the air and the wind."
Tom Daley,"I'm partial to the Cornish coast, as it's near where I grew up in Plymouth. The views across the water are stunning. I love walking along the sandy beaches and the seafront paths."
Wilbur Smith,"They say if you drink Zambezi water with your mother's milk, you are always a slave of Africa, and I am."
Kelly Clarkson,"My friends and family are my support system. They tell me what I need to hear, not what I want to hear and they are there for me in the good and bad times. Without them I have no idea where I would be and I know that their love for me is what's keeping my head above the water."
Jerry Saltz,"Summer is a great time to visit art museums, which offer the refreshing rinse of swimming pools - only instead of cool water, you immerse yourself in art."
Kate Crawford,"As AI becomes the new infrastructure, flowing invisibly through our daily lives like the water in our faucets, we must understand its short- and long-term effects and know that it is safe for all to use."
Charles Maurice de Talleyrand,She is such a good friend that she would throw all her acquaintances into the water for the pleasure of fishing them out again.
Antony Starr,"I was told to have an ice bath once, which I did once, and it was the most horrific experience. In my head it sounded like a great idea, so I filled my bath with ice and water, and it was absolutely horrendous."
James Wilson,"Certainly, its important to protect the water system and that covers, certainly, everything from vandals to terrorists."
Neil Young,"I live for playing live. All my records are live, since After the Gold Rush, with the exception of Trans and the vocals on Landing on Water."
Winona LaDuke,"Mother Earth needs us to keep our covenant. We will do this in courts, we will do this on our radio station, and we will commit to our descendants to work hard to protect this land and water for them. Whether you have feet, wings, fins, or roots, we are all in it together."
Jurgen Klopp,People should not make me out to be like Jesus; I don't walk on water.
Kate Chopin,There are some people who leave impressions not so lasting as the imprint of an oar upon the water.
Ma Jun,"Pollution is a serious one. Water pollution, air pollution, and then solid hazardous waste pollution. And then beyond that, we also have the resources issue. Not just water resources but other natural resources, the mining resources being consumed, and the destruction of our ecosystem."
Du Fu,"My heart is in a world of water and crystal, My clothes are damp in this time of spring rains."
Unknown,Women are like teabags. We don't know our true strength until we are in hot water!
Erin Brockovich,Saying drinking water is 'safe' without any supporting documentation is wrong. Resting on the comfort that the DHEC and the USEPA are there to give you cover is the same mistake the City of Flint made.
Tori Amos,"I have never smoked and have always drunk a lot of water, but cleanse, tone and moisturise every day? No way!"
Michael Phelps,I've been able to get an excitement back in the water.
Wangari Maathai,"I know there is pain when sawmills close and people lose jobs, but we have to make a choice. We need water and we need these forests."
Jamais Cascio,"Human civilization has been changing the Earth's environment for millennia, often to our detriment. Dams, deforestation and urbanization can alter water cycles and wind patterns, occasionally triggering droughts or even creating deserts."
Johan Rockstrom,"Emissions of greenhouse gases warm the planet, altering the carbon and water cycles. A warmer ocean stores more heat, providing more fuel for hurricanes. A warmer atmosphere holds more water, bringing dangerous deluges. Rising sea levels threaten coastal zones."
Alison Gopnik,"Asking questions is what brains were born to do, at least when we were young children. For young children, quite literally, seeking explanations is as deeply rooted a drive as seeking food or water."
Eric Butterworth,The one thing that a fish can never find is water; and the one thing that man can never find is God.
Sulli,I have never bought a swim suit because of my fear for water.
Johan Rockstrom,"During the Holocene, we undoubtedly altered our environment significantly, clearing land, diverting water and building great cities."
Peter Thiel,"Seventy percent of the planet is covered with water, and there's so much we can be doing with oceans, and it was one of the frontiers that people have more or less abandoned."
Tom Perez,"Budgets are moral documents. They reflect the values of any government and when you're compromising clean air, clean water, and lead, you're making a statement about communities you don't care about."
Cyril Connolly,"Like water, we are truest to our nature in repose."
Denzel Curry,"If it's not Fiji water, we don't want it."
Dawn Fraser,"It's a beautiful thing, diving into the cool crisp water and then just sort of being able to pull your body through the water and the water opening up for you."
Charles Eastman,"The elements and majestic forces in nature, Lightning, Wind, Water, Fire, and Frost, were regarded with awe as spiritual powers, but always secondary and intermediate in character."
Julia Louis-Dreyfus,"I'm not the type to cut back on hot showers, but there's no harm in hot water when it's warmed by the sun."
Marcus Samuelsson,"For many of us, clean water is so plentiful and readily available that we rarely, if ever, pause to consider what life would be like without it."
Don King,"If you cast your bread upon the water and you have faith, you'll get back cash. If you don't have faith, you'll get soggy bread."
Thomas J. Sargent,"In the 1980s, there were occasions when it made sense to say, 'it is too difficult to maximize the likelihood function, and besides if we do, it will blow our model out of the water.'"
Ryan North,"Squirrel Girl is basically a Silver Age character in the modern age, and that makes her a fish out of water in a lot of ways. She likes being a superhero. She likes fighting crime. She doesn't sit around brooding in the darkness of her Squirrel Hole trying to figure out new ways to make crime pay."
Antonie van Leeuwenhoek,"In rain water, I observed a small red worm and two other kinds of very minute insects; of those of the larger size, I judged that 30,000 together would not equal a coarse sand."
Henry Williamson,"Music comes from an icicle as it melts, to live again as spring water."
Pope Shenouda III,"You don't extinguish fire by adding more fire, you need water."
George Harrison,"There's high, and there's high, and to get really high - I mean so high that you can walk on the water, that high-that's where I'm going."
James Lind,"Into this pour the purified juice: and put it into a pan of water come almost to a boil and continue nearly in the state of boiling until the juice is found to be the consistency of a thick syrup when cold. It is then when cold, to be corked up in a bottle for use."
Michael Phelps,There are too many kids who are drowning for lack of water safety. That's something I'd like to do. Teaching kids to live an active lifestyle.
Takashi Murakami,"My parents came from the Kyushu Island in the Southern part of Japan to find work in Tokyo. So we could only afford to live downtown, in a low-income area. It was just by the river, and whenever a typhoon came around, we were under water up to, like, here. That's the kind of place we lived in."
Engelbert Humperdinck,"I drink a lot of water and a lot of wine. I'm a wine drinker. Red wine, preferably."
Gus Dapperton,"I wear high water pants, always, so you can see my socks - I always wear white socks."
Diego Maradona,The problem is that they are all stars at Madrid. You need someone to carry the water to the well.
Miguel de Cervantes,"I have always heard, Sancho, that doing good to base fellows is like throwing water into the sea."
Esther Williams,"Somehow I kept my head above water. I relied on the discipline, character, and strength that I had started to develop as that little girl in her first swimming pool."
PartyNextDoor,"I'll take a shot of vodka if I want it to be raspy... I tell whoever's in the studio to get boiling hot water, like super boiling, that they're afraid to give it to me. I put it exactly on the back of my tongue to shock my body. That cleans it up."
George Washington Cable,"There came to port last Sunday night the queerest little craft, without an inch of rigging on; I looked and looked - and laughed. It seemed so curious that she should cross the unknown water, and moor herself within my room - my daughter! O my daughter!"
Zac Brown,"I have seen a lot of people, including myself, make a lot of tip money because of 'Black Water,' so this is a full circle moment. To collaborate and recreate this iconic song is just an amazing moment as an artist."
Ashlan Gorse Cousteau,"Forget bottled water; tap water is just as good! Pour it into a reusable water bottle, and always have fresh water on the go without wasting plastic."
Dolores Huerta,The conditions were terrible. The farmworkers were only earning about 70 cents an hour at that time - 90 cents was the highest wage that they were earning. They didn't have toilets in the fields; they didn't have cold drinking water. They didn't have rest periods. People worked from sunup to sundown. It was really atrocious.
Kate Mara,I have a ridiculous fear of sharks but I'd jump in the water in a second for an amazing role.
Jeremy Sumpter,One lawyer told me that he never drinks water or eats in front of the jury because they can't do either one.
Jack Ma,"When I was 12 years old, I went to swim in a lake, and I almost died in that lake because the water was too deep - much deeper than I thought."
Stewart Butterfield,"For the first five years of my life, I grew up in a log cabin in coastal British Columbia in a very small town, like 300 people, mostly hippies. No running water, no electricity. When I was 12, I changed my name from Dharma to Stewart. At that age, you just want to be normal."
Roger Taylor,"One Christmas, when Freddie and I were flatmates in Kensington, we were trying to cook Christmas dinner, but all we had was a packet of bread sauce that you make with water. We used to dream of a can of beans."
Chris Long,I do believe that clean water is the most efficient way to change the world.
Louis Freeh,"Collecting intelligence information is like trying to drink water out of a fire hydrant. You know, in hindsight It's great. The problem is there's a million dots at the time."
Anne Hathaway,I used to believe that love was finding someone who would lead you through the deep water.
Paul Simon,I think Bridge Over Troubled Water was a very good song. Artie sang it beautifully. The Boxer was a really nice record. But I don't think I've written any great songs.
Diane von Furstenberg,"The most important thing is to be healthy, to drink a lot of water, to fight gravity as much as possible. I am one of the few people who decided I wasn't going to do any invasion with my face."
Keanu Reeves,"I just felt that if I went into Speed 2, I just... wouldn't have come up out of the water."
Art Buchwald,The powder is mixed with water and tastes exactly like powder mixed with water.
Jules Verne,"The Nautilus was piercing the water with its sharp spur, after having accomplished nearly ten thousand leagues in three months and a half, a distance greater than the great circle of the earth. Where were we going now, and what was reserved for the future?"
Egon Schiele,"At present, I am mainly observing the physical motion of mountains, water, trees and flowers. One is everywhere reminded of similar movements in the human body, of similar impulses of joy and suffering in plants."
Narendra Modi,"Much of India that we dream of still lies ahead of us: housing, power, water and sanitation for all; bank accounts and insurance for every citizen; connected and prosperous villages; and, smart and sustainable cities."
Plautus,"The day, water, sun, moon, night - I do not have to purchase these things with money."
Catherine of Siena,"As the hart desires the spring of living water, so my soul desires to leave the prison of this dark body and see You in truth."
Sandra Tsing Loh,"The literature of menopause is the saddest, the most awful, and the most medical of all genres. You're sleepless, you're anxious, you're fat, you're depressed - and the advice is always the same: take more walks, eat some kale, and drink lots of water. It didn't help."
Gilbert Newton Lewis,"We frequently define an acid or a base as a substance whose aqueous solution gives, respectively, a higher concentration of hydrogen ion or of hydroxide ion than that furnished by pure water. This is a very one sided definition."
Dan Lipinski,"The environmental benefits of hydrogen are also outstanding. When used as an energy source, hydrogen produces no emissions besides water. Zero polluting emissions, an amazing advance over the current sources of energy that we use."
Erno Rubik,"I was searching for a way to demonstrate 3D movement to my students and one day found myself staring into the River Danube, looking at how the water moved around the pebbles. This became the inspiration for the cube's twisting mechanism. The fact that it can do this without falling apart is part of its magic."
Miguel de Cervantes,"Truth indeed rather alleviates than hurts, and will always bear up against falsehood, as oil does above water."
Hilary Swank,"To me, working out is literally like eating a meal or drinking water or breathing."
Vitruvius,"Bodies which contain a greater proportion of water than is necessary to balance the other elements, are speedily corrupted, and lose their virtues and properties."
Deepak Chopra,"No matter how closely you examine the water, glucose, and electrolyte salts in the human brain, you can't find the point where these molecules became conscious."
Joe E. Lewis,"Whenever someone asks me if I want water with my Scotch, I say I'm thirsty, not dirty."
Brendan I. Koerner,"Sea-Monkeys are hybrid brine shrimp and the brainchild of the mail-order entrepreneur Harold von Braunhut in 1957. When their crystallized eggs are submerged in water, minuscule crustaceans emerge; they can grow up to 2 inches long."
Jesse Ventura,"When you drink fluoridated water, you're drinking liquid Prozac. You drink enough of it, even though it's a small amount, drink it for decades and decades and what does Prozac do to you? It dumbs you down; it makes you docile."
Josh Fox,"The problem is that everywhere the gas drilling industry goes, a trail of water contamination, air pollution, health concerns and betrayal of basic American civic and community values follows."
Ken Wilber,"The Enlightenment was an attempt to liberate myth and base truth claims on evidence, not just dogma. But when science threw out the church, they threw out the baby with the bath water."
