Author,Quote
A. P. J. Abdul Kalam,Be more dedicated to making solid achievements than in running after swift but synthetic happiness.
Groucho Marx,A hospital bed is a parked taxi with the meter running.
Andy Dunn,Leadership is inspiring people. Management is keeping the trains running on time.
Jiddu Krishnamurti,"What is needed, rather than running away or controlling or suppressing or any other resistance, is understanding fear; that means, watch it, learn about it, come directly into contact with it. We are to learn about fear, not how to escape from it."
Jim Carrey,"I've tried everything. I've done therapy, I've done colonics. I went to a psychic who had me running around town buying pieces of ribbon to fill the colors in my aura. Did the Prozac thing."
Chris Martin,"I do an hour's yoga and go running every day. Then I see a picture of myself and I still look like a skinny, potbellied idiot - and I thought I had turned into this superhunk!"
Margaret Thatcher,Any woman who understands the problems of running a home will be nearer to understanding the problems of running a country.
Hafez,"Ever since happiness heard your name, it has been running through the streets trying to find you."
Sylvia Plath,"It is as if my life were magically run by two electric currents: joyous positive and despairing negative - whichever is running at the moment dominates my life, floods it."
Anais Nin,"The dream was always running ahead of me. To catch up, to live for a moment in unison with it, that was the miracle."
Wolfgang Ketterle,"I think both running and science reflect certain character traits. I have endurance, patience, and ambition. I'm willing to work hard toward a goal, to push myself and overcome limits. Running and science both let me express these traits."
Johan Cruyff,"Speed is often confused with insight. When I start running earlier than the others, I appear faster."
Eminem,"I've been running a lot, taking care of myself."
Shirley MacLaine,"It's useless to hold a person to anything he says while he's in love, drunk, or running for office."
Seanan McGuire,"I do a lot of urban fantasy, which is modern-day cities, but you've got magic, you've got fairies running around, or cryptozoological creatures running around, and I'm pulling very heavily on my background as a folklore major and having done some animation work and all of that, and I'm pulling from the modern fairy tale narrative."
Tom Brady,Every quarterback can throw a ball; every running back can run; every receiver is fast; but that mental toughness that you talk about translates into competitiveness.
Paul Arden,"You need to aim beyond what you are capable of. You must develop a complete disregard for where your abilities end. Try to do things that you're incapable of... If you think you're incapable of running a company, make that your aim... Make your vision of where you want to be a reality. Nothing is impossible."
Travis Kalanick,We want transportation as reliable as running water.
John Muir,"It seems strange that bears, so fond of all sorts of flesh, running the risks of guns and fires and poison, should never attack men except in defense of their young. How easily and safely a bear could pick us up as we lie asleep! Only wolves and tigers seem to have learned to hunt man for food, and perhaps sharks and crocodiles."
Harold Kushner,"Caring about others, running the risk of feeling, and leaving an impact on people, brings happiness."
David Goggins,"The reason I became 297 pounds is because that was comfortable. What was very uncomfortable was running. What was very uncomfortable was being on a diet. What was very uncomfortable was trying to face things that I didn't want to face. And I also realized, when I was really big, I had no growth. Why? Because I was living comfortable."
Paul Tournier,"Acceptance of one's life has nothing to do with resignation; it does not mean running away from the struggle. On the contrary, it means accepting it as it comes, with all the handicaps of heredity, of suffering, of psychological complexes and injustices."
Tim Cook,"I learned that focus is key. Not just in your running a company, but in your personal life as well."
Summer Sanders,There is nothing in this world that I love more than my family. To be able to share the joy of running with them at the Runner's World Half Marathon and Running Festival where we can all participate together is as close as you can get to a perfect weekend.
Channing Pollock,A critic is a legless man who teaches running.
Dabo Swinney,"If my coach told me to go run them bleachers, you didn't ask no questions. I turned around and started running until he said stop."
Edgar Cayce,"For, he that expects nothing shall not be disappointed, but he that expects much - if he lives and uses that in hand day by day - shall be full to running over."
Jimi Hendrix,"If I'm free, it's because I'm always running."
Bill Gates,"In this business, by the time you realize you're in trouble, it's too late to save yourself. Unless you're running scared all the time, you're gone."
Alan Turing,I have such a stressful job that the only way I can get it out of my mind is by running hard.
Bertolt Brecht,What they could do with 'round here is a good war. What else can you expect with peace running wild all over the place? You know what the trouble with peace is? No organization.
Stevie Nicks,"If you see somebody running down the street naked every single day, you stop looking up."
John Mason Good,"Happiness consists in activity. It is running steam, not a stagnant pool."
Taylor Swift,"I had the most magical childhood, running free and going anywhere I wanted to in my head."
Gary Sinise,"Careers, like rockets, don't always take off on time. The trick is to always keep the engine running."
George A. Romero,A zombie film is not fun without a bunch of stupid people running around and observing how they fail to handle the situation.
Hillary Clinton,"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it."
Simon Sinek,"Mergers are like marriages. They are the bringing together of two individuals. If you wouldn't marry someone for the 'operational efficiencies' they offer in the running of a household, then why would you combine two companies with unique cultures and identities for that reason?"
Peter Norman,"I won a silver medal. But really, I ended up running the fastest race of my life to become part of something that transcended the Games."
Ada Lovelace,"I find that nothing but very close and intense application to subjects of a scientific nature now seems at all to keep my imagination from running wild, or to stop up the void which seems to be left in my mind from a want of excitement."
Izabel Goulart,"Sports have always been a big part of my life. At school, I played a lot of different sports, and I was competing with other schools. I did everything: running, volleyball, basketball, soccer, Olympic-style gymnastics, and more! My history with sports gave me good concentration, focus, strength, and motivation to stay healthy."
Marsilio Ficino,"You are running to seek your friend. Let your feet run, but your mind need not."
Eva Longoria,I'm a tomboy. I love shooting guns and running around.
Richard J. Daley,"We all like to hear a man speak out on his convictions and principles. But at the same time, you must understand that when you're running on a ticket, you're running with a team."
Satchel Paige,I don't generally like running. I believe in training by rising gently up and down from the bench.
Keanu Reeves,"'Speed' and 'Point Break' were a lot of running and jumping, and then 'The Matrix Trilogy' had a lot of fights and wire work and green screen elements."
Gurmeet Choudhary,"From getting good grades in school, to thinking about getting a good career and settling down, we all have been running a rat race. We always thought that we were doing it for ourselves but actually we were doing it for others. Like, I realized, I never had time for myself."
Steven Wright,Doing stand-up is like running across a frozen pond with the ice breaking behind you. I love it because it's dangerous.
Timothee Chalamet,"My sister was in ballet growing up. I spent almost the entirety of 7 through 12 backstage at Lincoln Center, just running around, waiting for 'The Nutcracker' to end."
Harlan Ellison,I don't remember anyone who could stand being in my company for more than five hours without running into the street.
Robin Williams,"The improv, sometimes it works, sometimes it doesn't, but when it does, it's like open-field running."
Billy Crystal,"I think it's like a relay race. You run, and you hand over the baton, and your kids pick it up. They take the stuff they want, throw the rest away, and keep running. That's what life is about."
Emil Zatopek,Why should I practice running slow? I already know how to run slow. I want to learn to run fast.
Deepak Chopra,No solution can ever be found by running in three different directions.
David Bowie,"Music itself is going to become like running water or electricity. So it's like, just take advantage of these last few years because none of this is ever going to happen again. You'd better be prepared for doing a lot of touring because that's really the only unique situation that's going to be left."
John Lasseter,I have motor oil running through my veins.
Sean Parker,Running a start-up is like eating glass. You just start to like the taste of your own blood.
Henry Kissinger,Leaders are responsible not for running public opinion polls but for the consequences of their actions.
Dolly Parton,"I am not gay, but if I were, I would be the first one running out of the closet."
Anatole France,"You learn to speak by speaking, to study by studying, to run by running, to work by working; in just the same way, you learn to love by loving."
Arthur Miller,"A child's spirit is like a child, you can never catch it by running after it; you must stand still, and, for love, it will soon itself come back."
Neil deGrasse Tyson,Venus has a runaway greenhouse effect. I kind of want to know what happened there because we're twirling knobs here on Earth without knowing the consequences of it. Mars once had running water. It's bone dry today. Something bad happened there as well.
Don Kardong,"Eventually, competition and adventure wane, and I enter my ibuprofen phase. Tweaky hamstrings and achy knees restrict mileage, but I continue running for health, sanity, and the ritual of a Sunday trail run with like-minded buddies. We discuss the nagging injuries that bedevil us, and remember the good old days when we were kings."
William Shakespeare,"And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everything."
Mason Cooley,Dancing and running shake up the chemistry of happiness.
Andy Warhol,"It's the movies that have really been running things in America ever since they were invented. They show you what to do, how to do it, when to do it, how to feel about it, and how to look how you feel about it."
Phil Knight,"Running is a basic ingredient for your health, just as much as eating and sleeping, but going out for a run by yourself and taking a moment to think also creates a certain peace."
Richard Adams,"My heart has joined the thousand, for my friend stopped running today."
George Groves,"It's iconic, it's Wembley. When I go running up Primrose Hill you can see the arch. It's a great thing and it's a proud spot for London."
Kenny Loggins,Running away will never make you free.
Adrienne Rich,"We might possess every technological resource... but if our language is inadequate, our vision remains formless, our thinking and feeling are still running in the old cycles, our process may be 'revolutionary' but not transformative."
Les Brown,"I advise you to say your dream is possible and then overcome all inconveniences, ignore all the hassles and take a running leap through the hoop, even if it is in flames."
Michael Shannon,"The thing about New York is, more than any other place I've ever been, you run into people on the street that you would never imagine you'd see, old friends, people just like there for a day or two. I find that all the time when I'm walking around Manhattan, running into people that I had no idea were even there."
Allyson Felix,My faith inspires me so much. It is the very reason that I run. I feel that my running is completely a gift from God and it is my responsibility to use it to glorify him.
Erma Bombeck,"When a child is locked in the bathroom with water running and he says he's doing nothing but the dog is barking, call 911."
Susan Lucci,"Life goes on, and I'm moving on to the next thing, but I hope the soaps that are still running will thrive. They have millions of loyal viewers."
Zelda Williams,Being bisexual doesn't mean I'm suddenly willy-nilly running around.
Barack Obama,"A mother deserves a day off to care for a sick child or sick parent without running into hardship - and you know what, a father does, too. It's time to do away with workplace policies that belong in a 'Mad Men' episode."
Wavy Gravy,I was at the 1976 Republican Convention in Kansas City. I was running 'Nobody for President' at the time. I printed up these press releases and handed them out to the crowd at the Kemper Arena. 'Nobody keeps campaign promises.' 'Nobody lowers your taxes.' 'Nobody should have that much power.' 'Nobody is in Washington working for you.'
Daniel Ricciardo,I will be happier if I crash by trying than not trying and running around behind the same guy for 70 laps.
Kylie Minogue,"I love to have a bath with beautiful, relaxing music on and have no rush to do anything. It's a wonderful indulgence, and it helps me to calm down and stop my mind running overtime."
Shakira,"Because of you, I'm running out of reasons to cry."
Samuel L. Jackson,"Because of where I come from, I never thought I'd see in my life a black candidate running for President."
Victor Kiam,"In business, the competition will bite you if you keep running, if you stand still, they will swallow you."
Ann Richards,"We're living in a whole new social and economic order with a whole new set of problems and challenges. Old assumptions and old programs don't work in this new society and the more we try to stretch them to make them fit, the more we will be seen as running away from what is reality."
Mary Decker,"I can jog, but I can't run. That's hard for me. I like the fact that I can jog for fitness, but to me there's a huge difference between jogging and running."
Steve Prefontaine,"Every once in a while I think, 'What am I doing out here running, busting myself up? Life could be so much easier. The other guys are out having fun, doing other things, why not me?'"
Quentin Crisp,"It's no good running a pig farm badly for 30 years while saying, 'Really, I was meant to be a ballet dancer.' By then, pigs will be your style."
Joyce Meyer,Did you know there's a difference between being busy and being fruitful? Did you ever stop to think that just being busy - running around in circles all day but not accomplishing anything - is the same as wasting your time? It's frustrating to expend so much energy and time and not have any fruit from your effort!
Bretman Rock,I get to escape this crazy world that I live in. I think that's the true beauty of running.
George Burns,Too bad all the people who know how to run this country are busy running taxicabs or cutting hair.
Frank Shorter,Intervals and other types of speed work are essential to improve running speed.
Neil Peart,Playing a three-hour Rush show is like running a marathon while solving equations.
Roger Bannister,"I was always a great bundle of energy. As a child, instead of walking, I would run. And so running, which is a pain to a lot of people, was always a pleasure to me because it was so easy."
Madam C. J. Walker,"My object in life is not simply to make money for myself or to spend it on myself in dressing or running around in an automobile, but I love to use a part of what I make in trying to help others."
David Lynch,"Absurdity is what I like most in life, and there's humor in struggling in ignorance. If you saw a man repeatedly running into a wall until he was a bloody pulp, after a while it would make you laugh because it becomes absurd."
Joel Kinnaman,"I went to high school in Texas for one year, my senior year. My parents wanted me to get out of Stockholm because I was running with the wrong crew. They wanted me to get back to my roots."
Matthew McConaughey,"Whether I'm running on the beach without my shirt or whether I'm going out with my kids or going to church or going out to dinner - I don't choose to insulate myself in engaging in real life. Hence, the public kind of almost knows me as much through my real life that they see through the rag mags."
Rachel McAdams,Running through airports with pounds of luggage - that's a good workout.
William Lyon Phelps,If I were running the world I would have it rain only between 2 and 5 a.m. Anyone who was out then ought to get wet.
Maurice Strong,"After all, sustainability means running the global environment - Earth Inc. - like a corporation: with depreciation, amortization and maintenance accounts. In other words, keeping the asset whole, rather than undermining your natural capital."
Sam Heughan,"I was born and brought up in the countryside. I used to live in a sort of converted stables on the grounds of a castle, and I spent a lot of my childhood running around with a pretend sword pretending to be Robert the Bruce."
Terry Pratchett,"You can't build a plot out of jokes. You need tragic relief. And you need to let people know that when a lot of frightened people are running around with edged weaponry, there are deaths. Stupid deaths, usually. I'm not writing 'The A-Team' - if there's a fight going on, people will get hurt. Not letting this happen would be a betrayal."
David Goggins,"Mental toughness is a lifestyle. It's something that you live every single day of your life. When I was growing up, I was a lazy kid. I was a lazy kid, and everybody goes, 'How did you get to where you're at today? How did you get to where you're running 200 miles at one time in 39 hours? Being so disciplined?'"
Larry Ellison,"We've announced an Oracle Virtual Compute Appliance, a bunch of low-cost commodity servers running Linux, integrated in our case, with InfiniBand - connected with InfiniBand vs. the traditional Ethernet."
William Morris,"We shall not be happy unless we live like good animals, unless we enjoy the exercise of the ordinary functions of life: eating, sleeping, loving, walking, running, swimming, riding, sailing."
Andrew Lincoln,"In western culture, we have ignored death. We're running the other way - everything is about life and youth. So, there's something resonant about walking around with our own death masks. Zombies are the visible embodiment of death staring at us with our own faces."
Mauricio Pochettino,"Belief is the most important thing in football. Not quality, running, or being strong but belief, faith, and fight."
Dolores O'Riordan,"As you get older, it's good to open up and acknowledge that everybody has their scary moments, their negative moments. And in order to move on and find comfort and hope, you have to stop running from the darkness and face it. And when you face it, it's not that scary at all, and sometimes it actually turns around and runs away."
Alberto Salazar,"We may train or peek for a certain race, but running is a lifetime sport."
Pranab Mukherjee,"Of course, running a coalition government in a country like India is a difficult task. More so when Congress leads the coalition, since most of the political parties were anti-Congress. To have a coalition, to run a coalition government, you require a lot of adjustments, a lot of flexibility."
James Marsters,"When you are a hero you are always running to save someone, sweating, worried and guilty. When you are a villain you are just lurking in the shadows waiting for the hero to pass by. Then you pop them in the head and go home... piece of cake."
Lester Holt,"You have to go where the story is to report on it. As a journalist, you're essentially running to things that other people are running away from."
Ray Kurzweil,"Biology is a software process. Our bodies are made up of trillions of cells, each governed by this process. You and I are walking around with outdated software running in our bodies, which evolved in a very different era."
Brett Hull,"My teeth have never been touched. Why did I tell you that? Knock on wood. I've got a few scars over the eyes, a couple on the chin, a few on the beak and one across the cheek. But my luck is running out."
Martha Stewart,"I think baking cookies is equal to Queen Victoria running an empire. There's no difference in how seriously you take the job, how seriously you approach your whole life."
Charles Krauthammer,"Baseball is a slow, boring, complex, cerebral game that doesn't lend itself to histrionics. You 'take in' a baseball game, something odd to say about a football or basketball game, with the clock running and the bodies flying."
Tom Holland,"Me and my mates go free running all the time. It's not my mum's favourite sport. I've probably jumped four metres on to grass and two metres between buildings. It's nothing like you see on the Internet, with guys jumping off skyscrapers, but it's fun."
Jackie Chan,"My schedule goes: wake up, running, exercise, downstairs, running shoes off, then to the shower. That's the Jackie Chan diary."
Jennifer Lopez,"People equate sexy with promiscuous. They think that because I'm shaped this way, I must be scandalous - like running around and bringing men into my hotel room. But it's just the opposite."
Lil Nas X,"Take my horse to the old town road and ride till I can't no more' basically means just running away, and everything is just gone. The horse is metaphorical for not having anything or just the little things that you do have, and it's with you."
Warren Buffett,"We've used up a lot of bullets. And we talk about stimulus. But the truth is, we're running a federal deficit that's 9 percent of GDP. That is stimulative as all get out. It's more stimulative than any policy we've followed since World War II."
Thich Nhat Hanh,Many of us have been running all our lives. Practice stopping.
Eudora Welty,A good snapshot stops a moment from running away.
Sallie Krawcheck,"My low point was after being reorganized out of running Merrill Lynch. That dismissal deeply contradicted my sense of fairness, since, at the time, my team and I had done what we were brought in to do: We had turned Merrill Lynch around from the depths of the financial crisis."
Kangana Ranaut,"I don't know if it is of any joy to humiliate people. No matter what, whether you're high in life or low in life, humiliation and such kinds of things should just be ignored. I don't derive any pleasure from running people down."
Keith Richards,You don't start to play your guitar thinking you're going to be running an organisation that will maybe generate millions.
Wilma Rudolph,"I loved the feeling of freedom in running, the fresh air, the feeling that the only person I'm competing with is me."
Steve Prefontaine,"No one will ever win a 5,000-meter by running an easy two miles. Not against me."
R. A. Butler,"In politics you must always keep running with the pack. The moment that you falter and they sense that you are injured, the rest will turn on you like wolves."
Hedy Lamarr,"Let any pretty girl announce a divorce in Hollywood and the wolves come running. Fresh meat for the beast, and they are always hungry."
Frank Grillo,"When you have Liam Neeson in a film, no matter how good everyone else is, it's a Liam Neeson film. And if there's wolves, and you're running, it's about Liam Neeson running from wolves."
Lori Greiner,"When I had challenges, it taught me to be more on top of it for the future. Things go wrong all the time when you're running your own business, but it's how you perceive it and deal with it that matters."
Lily Collins,"As a little girl living in the English countryside, I used to go running around in the forests, creating my own fairy tale."
Jackie Robinson,"My problem was my inability to spend much time at home. I thought my family was secure, so I went running around everyplace else. I guess I had more of an effect on other people's kids than I did my own."
Rob Halford,Running away from something doesn't do anything except put distance.
Marianne Williamson,"Some men know that a light touch of the tongue, running from a woman's toes to her ears, lingering in the softest way possible in various places in between, given often enough and sincerely enough, would add immeasurably to world peace."
George Jean Nathan,"I know many married men, I even know a few happily married men, but I don't know one who wouldn't fall down the first open coal hole running after the first pretty girl who gave him a wink."
Rose,I have a really hard time falling asleep. I have a lot of thoughts running through my head.
Susanna Reid,"Marathon runner Sophie Raworth is always trying to get me to put my running shoes back on, but I can't match her for fitness."
Jared Leto,"It gives us a look into a world that's very much like 'Traffic' was for drugs, this movie is for gun running. Dark at times, but I think Nic Cage is an incredible person to watch and very entertaining."
Larry Wilcox,"Another thing I like to do is sit back and take in nature. To look at the birds, listen to their singing, go hiking, camping and jogging and running, walking along the beach, playing games and sometimes being alone with the great outdoors. It's very special to me."
Les Dawson,My mother-in-law has come round to our house at Christmas seven years running. This year we're having a change. We're going to let her in.
Usain Bolt,"Come on... when you're running, if you see you're going to win, you're going to celebrate."
Pierre Teilhard de Chardin,"I am a little too absorbed by science to be able to philosophise much; but the more I look into myself, the more I find myself possessed by the conviction that it is only the science of Christ running through all things, that is to say true mystical science, that really matters. I let myself get caught up in the game when I geologise."
Arthur Lydiard,"No one will burn out doing aerobic running. It is too much anaerobic running, which the American scholastic athletic system tends to put young athletes through, that burns them out."
Joe Henderson,That time is important. It gives a comforting illusion of permanence not found in running by the mile.
Roman Reigns,"Anytime you're out there in between those ropes, you always have to worry about fatigue. If you think about it, people get tired just doing cardio. You get tired doing cardio just by yourself. Now imagine running around, picking somebody up, picking you up, trying to pin you, trying to hold you down. It gets very tiring."
Gordon Ramsay,Running started as a way of relaxing. It's the only time I have to myself. No phones or e-mails or faxes.
Ivanka Trump,"Running is a great metaphor for life. You set a goal, and then you get to work. How well you do is a direct reflection of how hard you work. It's a mental game, too. There are setbacks along the way, but the true test of a runner is how you overcome and push past them."
George Steinbrenner,We plan absentee ownership as far as running the Yankees is concerned.
LeBron James,"But now, being a parent, I go home and see my son and I forget about any mistake I ever made or the reason I'm upset. I get home and my son is smiling or he comes running to me. It has just made me grow as an individual and grow as a man."
Alexandria Ocasio-Cortez,I'm not running from the left; I'm running from the bottom. I'm running in fierce advocacy for working-class New Yorkers.
David Letterman,"Dick Cheney said he was running again. He said his health was fine, 'I've got a doctor with me 24 hours a day.' Yeah, that's always the sign of a man in good health, isn't it?"
Margaret Atwood,"We thought we were running away from the grownups, and now we are the grownups."
Joseph Hall,Moderation is the silken string running through the pearl chain of all virtues.
Anthony Mackie,You never see girls running after engineers.
Andi Dorfman,"I love people who Instagram story themselves running and they'll tag me or they'll send me a message and they'll be like, 'Wow this is so motivational and so inspirational.'"
Tim Robbins,Americans accept that gangsters are running the government.
Marshawn Lynch,"As a running back, it takes five offensive linemen, a tight end, a fullback and possibly two wide receivers, in order to make my job successful."
Michael Andretti,"Running on different types of racetracks is challenging - not only for the drivers, but even more for the team members who have to make adjustments to the cars before each race."
Joan Van Ark,Running is a great way to relieve stress and clear the mind.
John Tesh,"The world is full of people who have dreams of playing at Carnegie Hall, of running a marathon, and of owning their own business. The difference between the people who make it across the finish line and everyone else is one simple thing: an action plan."
Walter O'Brien,"If you look at any normal organization, the CEO is the person with the highest E.Q. The person with the highest IQ is often in the back room running the financials or the operations. That's topsy turvy."
Satchel Paige,Avoid running at all times.
Frank Shorter,"For the novice runner, I'd say to give yourself at least 2 months of consistently running several times a week at a conversational pace before deciding whether you want to stick with it. Consistency is the most important aspect of training at this point."
Toni Morrison,"I don't think a female running a house is a problem, a broken family. It's perceived as one because of the notion that a head is a man."
Prue Leith,"I opened Leith's in Notting Hill in 1969 and it eventually worked its way into being awarded a Michelin star. At the time, there were a few women running small bistros - but I was the first woman to have a 'serious,' expensive restaurant."
Perry Como,"Just the other day, it seems, the kids were running through the house, slamming doors, breaking glass, making noise. Time goes by so quickly. Sometimes everything seems so fleeting."
Mary Quant,"The whole 1960s thing was a ten-year running party, which was lovely. It started at the end of the 1950s and sort of faded a bit when it became muddled with flower power. It was marvelous."
Jonathan Carroll,You have to walk carefully in the beginning of love; the running across fields into your lover's arms can only come later when you're sure they won't laugh if you trip.
Dennis Banks,"I ran away. I kept running away. Almost once a week, I'd run away from those schools. They'd catch me. They'd bring me back to the school, beat me. And it was - it was terrible."
Ryan Hall,"I may not drink an electrolyte beverage during the race. If I am running in an hour, I won't need one. But if you're running an hour-and-a-half to two hours or more, maybe you need a little bit of the electrolytes."
Dan Marino,"We're not running the ball again until we get ahead. Shula was calling the plays, but I told them, 'I don't care what he calls. We're throwing every pass from now until we get the lead.' To Shula's credit, he always gave me that option."
Oxana Chusovitina,I'll take a look and get a second wind because so many little children are running around at my side.
John Lasseter,I've got Disney blood running through my veins.
Steve Prefontaine,"Kids made fun of me because I was a slow learner, because I was hyperactive, because of a lot of things. Running gave me confidence."
Martin Scorsese,"I grew up within Italian-American neighborhoods, everybody was coming into the house all the time, kids running around, that sort of stuff, so when I finally got into my own area, so to speak, to make films, I still carried on."
Stone Gossard,I really enjoy not getting in a car and running errands on bikes.
Marc Andreessen,"The smartphone revolution is under-hyped, more people have access to phones than access to running water. We've never had anything like this before since the beginning of the planet."
Mary Oliver,"Instead of taking the reader by the hand and running him down the hill, I want to lead him into a house of many rooms, and leave him alone in each of them."
Joko Beck,"Underneath our nice, friendly facades there is great unease. If I were to scratch below the surface of anyone I would find fear, pain, and anxiety running amok. We all have ways to cover them up. We overeat, over-drink, overwork; we watch too much television."
Louis Armstrong,"I do believe that my whole success goes back to that time I was arrested as a wayward boy at the age of thirteen. Because then I had to quit running around and began to learn something. Most of all, I began to learn music."
Steve Prefontaine,"People say I should be running for a gold medal for the old red, white and blue and all that bull, but it's not gonna be that way."
Utah Phillips,"I created my own party. It's called the Sloth and Indolence Party, and I'm running as an anarchist candidate in the best sense of that word. I've studied the presidency carefully."
Rodney Dangerfield,"I get no respect. The way my luck is running, if I was a politician I would be honest."
Leroy Chiao,Tinkering is something we need to know how to do in order to keep something like the space station running. I am a tinkerer by nature.
Harry Redknapp,"Down at Bournemouth, I kicked a tray of cups up into air, and one hit Luther Blissett on the head. He flicked it on, and it went all over my suit hanging behind. Another time, at West Ham, I also threw a plate of sandwiches at Don Hutchison. He's sitting there, still arguing with me, with cheese and tomato running down his face."
Tony Dorsett,"The Rooneys are very classy. They're very deliberate with their decision-making. Once you're part of that family, Steeler nation, they treat you with respect. You don't have a lot of rambunctious players running around."
Eugene Kennedy,"We encounter and enter our richest, most humanly defining experiences by way of a tear in the fabric of things, because we are running late, or because we recognize, across a crowded room, a face whose lack of perfection allows a unique light to shine through and to stir us with uncommon wonder."
Kazuo Ishiguro,"We all live inside bodies that will deteriorate. But when you look at human beings, they're capable of very decent things: love, loyalty. When time is running out, they don't care about possessions or status. They want to put things right if they've done wrong."
William Brewster,We follow the rules laid out in the Bible for running our church.
Samoa Joe,"It's all about starting momentum, hitting the ground running, and starting out hot."
Liz Smith,Gossip is just news running ahead of itself in a red satin dress.
Zlatan Ibrahimovic,I would love to play alongside Wayne Rooney. He does the running of two or three players and makes a lot of space. We would be the perfect combination.
Alberto Salazar,"I've never enjoyed my running more. I also do 200 sit-ups a day, 60 push-ups, and a lot of stretching. I've had some back issues. I think the stretching helps with that."
Derek Jeter,"Athletics keeps us healthy, gets us up and running around. It also gives you an opportunity to meet a lot of different people, which is very important."
David Goggins,"My whole thing now is I know how to think properly to be successful in all aspects of my life. It's not about ultra running or being a SEAL or pull-up records: it's about if you want to be better you, have to change your perceived limitations and take the barriers down."
Eliud Kipchoge,"I am running to make history, to show that no human is limited. It's not about money, it's about showing a generation of people that there are no limits."
